Charge Amount,Bank,Place of Business
$0.25,Wells Fargo,"Jack in\n the box"
$1.25,Bank of America,"Mcdon\nalds"
$2.25,Chase,"Wen\ndys"
$3.25,Wells Fargo,"Apple\n Store"
$4.25,Bank of America,"Microsoft\n Store"
$5.25,Chase,"Jack in\n the box"
$6.25,Wells Fargo,"Mcdon\nalds"
$7.25,Bank of America,"Wen\ndys"
$8.25,Chase,"Apple\n Store"
$9.25,Wells Fargo,"Microsoft\n Store"
$10.25,Bank of America,"Jack in\n the box"
$11.25,Chase,"Mcdon\nalds"
$12.25,Wells Fargo,"Wen\ndys"
$13.25,Bank of America,"Apple\n Store"
$14.25,Chase,"Microsoft\n Store"
$15.25,Wells Fargo,"Jack in\n the box"
$16.25,Bank of America,"Mcdon\nalds"
$17.25,Chase,"Wen\ndys"
$18.25,Wells Fargo,"Apple\n Store"
$19.25,Bank of America,"Microsoft\n Store"
$20.25,Chase,"Jack in\n the box"
$21.25,Wells Fargo,"Mcdon\nalds"
$22.25,Bank of America,"Wen\ndys"
$23.25,Chase,"Apple\n Store"
$24.25,Wells Fargo,"Microsoft\n Store"
$25.25,Bank of America,"Jack in\n the box"
$26.25,Chase,"Mcdon\nalds"
$27.25,Wells Fargo,"Wen\ndys"
$28.25,Bank of America,"Apple\n Store"
$29.25,Chase,"Microsoft\n Store"
$30.25,Wells Fargo,"Jack in\n the box"
$31.25,Bank of America,"Mcdon\nalds"
$32.25,Chase,"Wen\ndys"
$33.25,Wells Fargo,"Apple\n Store"
$34.25,Bank of America,"Microsoft\n Store"
$35.25,Chase,"Jack in\n the box"
$36.25,Wells Fargo,"Mcdon\nalds"
$37.25,Bank of America,"Wen\ndys"
$38.25,Chase,"Apple\n Store"
$39.25,Wells Fargo,"Microsoft\n Store"
$40.25,Bank of America,"Jack in\n the box"
$41.25,Chase,"Mcdon\nalds"
$42.25,Wells Fargo,"Wen\ndys"
$43.25,Bank of America,"Apple\n Store"
$44.25,Chase,"Microsoft\n Store"
$45.25,Wells Fargo,"Jack in\n the box"
$46.25,Bank of America,"Mcdon\nalds"
$47.25,Chase,"Wen\ndys"
$48.25,Wells Fargo,"Apple\n Store"
$49.25,Bank of America,"Microsoft\n Store"
$50.25,Chase,"Jack in\n the box"
$51.25,Wells Fargo,"Mcdon\nalds"
$52.25,Bank of America,"Wen\ndys"
$53.25,Chase,"Apple\n Store"
$54.25,Wells Fargo,"Microsoft\n Store"
$55.25,Bank of America,"Jack in\n the box"
$56.25,Chase,"Mcdon\nalds"
$57.25,Wells Fargo,"Wen\ndys"
$58.25,Bank of America,"Apple\n Store"
$59.25,Chase,"Microsoft\n Store"
$60.25,Wells Fargo,"Jack in\n the box"
$61.25,Bank of America,"Mcdon\nalds"
$62.25,Chase,"Wen\ndys"
$63.25,Wells Fargo,"Apple\n Store"
$64.25,Bank of America,"Microsoft\n Store"
$65.25,Chase,"Jack in\n the box"
$66.25,Wells Fargo,"Mcdon\nalds"
$67.25,Bank of America,"Wen\ndys"
$68.25,Chase,"Apple\n Store"
$69.25,Wells Fargo,"Microsoft\n Store"
$70.25,Bank of America,"Jack in\n the box"
$71.25,Chase,"Mcdon\nalds"
$72.25,Wells Fargo,"Wen\ndys"
$73.25,Bank of America,"Apple\n Store"
$74.25,Chase,"Microsoft\n Store"
$75.25,Wells Fargo,"Jack in\n the box"
$76.25,Bank of America,"Mcdon\nalds"
$77.25,Chase,"Wen\ndys"
$78.25,Wells Fargo,"Apple\n Store"
$79.25,Bank of America,"Microsoft\n Store"
$80.25,Chase,"Jack in\n the box"
$81.25,Wells Fargo,"Mcdon\nalds"
$82.25,Bank of America,"Wen\ndys"
$83.25,Chase,"Apple\n Store"
$84.25,Wells Fargo,"Microsoft\n Store"
$85.25,Bank of America,"Jack in\n the box"
$86.25,Chase,"Mcdon\nalds"
$87.25,Wells Fargo,"Wen\ndys"
$88.25,Bank of America,"Apple\n Store"
$89.25,Chase,"Microsoft\n Store"
$90.25,Wells Fargo,"Jack in\n the box"
$91.25,Bank of America,"Mcdon\nalds"
$92.25,Chase,"Wen\ndys"
$93.25,Wells Fargo,"Apple\n Store"
$94.25,Bank of America,"Microsoft\n Store"
$95.25,Chase,"Jack in\n the box"
$96.25,Wells Fargo,"Mcdon\nalds"
$97.25,Bank of America,"Wen\ndys"
$98.25,Chase,"Apple\n Store"
$99.25,Wells Fargo,"Microsoft\n Store"
$100.25,Bank of America,"Jack in\n the box"
$101.25,Chase,"Mcdon\nalds"
$102.25,Wells Fargo,"Wen\ndys"
$103.25,Bank of America,"Apple\n Store"
$104.25,Chase,"Microsoft\n Store"
$105.25,Wells Fargo,"Jack in\n the box"
$106.25,Bank of America,"Mcdon\nalds"
$107.25,Chase,"Wen\ndys"
$108.25,Wells Fargo,"Apple\n Store"
$109.25,Bank of America,"Microsoft\n Store"
$110.25,Chase,"Jack in\n the box"
$111.25,Wells Fargo,"Mcdon\nalds"
$112.25,Bank of America,"Wen\ndys"
$113.25,Chase,"Apple\n Store"
$114.25,Wells Fargo,"Microsoft\n Store"
$115.25,Bank of America,"Jack in\n the box"
$116.25,Chase,"Mcdon\nalds"
$117.25,Wells Fargo,"Wen\ndys"
$118.25,Bank of America,"Apple\n Store"
$119.25,Chase,"Microsoft\n Store"
$120.25,Wells Fargo,"Jack in\n the box"
$121.25,Bank of America,"Mcdon\nalds"
$122.25,Chase,"Wen\ndys"
$123.25,Wells Fargo,"Apple\n Store"
